cate,lift,n,mu0,mu1
0.004,0.1,200,0.04,0.044
0.004,0.2,200,0.02,0.024
0.004,0.3,200,0.013333333333333334,0.017333333333333333
0.004,0.4,200,0.01,0.014
0.004,0.5,200,0.008,0.012
0.008,0.1,200,0.08,0.088
0.008,0.2,200,0.04,0.048
0.008,0.3,200,0.02666666666666667,0.034666666666666665
0.008,0.4,200,0.02,0.028
0.008,0.5,200,0.016,0.024
0.012,0.1,200,0.12,0.132
0.012,0.2,200,0.06,0.072
0.012,0.3,200,0.04,0.052000000000000005
0.012,0.4,200,0.03,0.041999999999999996
0.012,0.5,200,0.024,0.036000000000000004
0.016,0.1,200,0.16,0.176
0.016,0.2,200,0.08,0.096
0.016,0.3,200,0.05333333333333334,0.06933333333333333
0.016,0.4,200,0.04,0.056
0.016,0.5,200,0.032,0.048
0.02,0.1,200,0.19999999999999998,0.21999999999999997
0.02,0.2,200,0.09999999999999999,0.12
0.02,0.3,200,0.06666666666666667,0.08666666666666667
0.02,0.4,200,0.049999999999999996,0.06999999999999999
0.02,0.5,200,0.04,0.06
