score,quintile,score_value,n,mu0,mu1,cate,lift,mean_individual_lift,incremental_per_1000
cate,1,0.004,1000,0.01826666666666667,0.02226666666666667,0.004,0.21897810218978098,0.3,4.0
cate,2,0.008,1000,0.03653333333333334,0.04453333333333334,0.008,0.21897810218978098,0.3,8.0
cate,3,0.012,1000,0.054800000000000015,0.06680000000000003,0.01200000000000001,0.2189781021897812,0.3,12.00000000000001
cate,4,0.016,1000,0.07306666666666668,0.08906666666666668,0.016,0.21897810218978098,0.3,16.0
cate,5,0.02,1000,0.09133333333333335,0.11133333333333334,0.01999999999999999,0.21897810218978098,0.3,19.99999999999999
lift,1,0.1,1000,0.12000000000000002,0.132,0.011999999999999983,0.09999999999999987,0.10000000000000002,11.999999999999982
lift,2,0.2,1000,0.06000000000000001,0.07200000000000001,0.011999999999999997,0.19999999999999996,0.20000000000000004,11.999999999999996
lift,3,0.3,1000,0.04,0.052000000000000005,0.012000000000000004,0.30000000000000004,0.2999999999999999,12.000000000000004
lift,4,0.4,1000,0.030000000000000006,0.042,0.011999999999999997,0.3999999999999999,0.4000000000000001,11.999999999999996
lift,5,0.5,1000,0.024,0.03600000000000001,0.01200000000000001,0.5000000000000004,0.5,12.00000000000001
conversion,1,0.015866666666666668,1000,0.013466666666666668,0.01826666666666667,0.004800000000000002,0.35643564356435653,0.38,4.8000000000000025
conversion,2,0.03213333333333334,1000,0.02653333333333334,0.03773333333333334,0.011200000000000002,0.42211055276381915,0.42,11.200000000000001
conversion,3,0.046,1000,0.04,0.05200000000000001,0.01200000000000001,0.30000000000000027,0.3,12.00000000000001
conversion,4,0.06960000000000002,1000,0.062000000000000006,0.0772,0.015199999999999998,0.2451612903225806,0.26,15.199999999999998
conversion,5,0.14039999999999997,1000,0.13200000000000003,0.14880000000000002,0.01679999999999998,0.1272727272727272,0.14000000000000004,16.799999999999983
