score,quintile,profile,n,mu0,mu1,cate,lift,mean_individual_lift,incremental_per_1000
cate,1,A,1000,0.02,0.03600000000000001,0.01600000000000001,0.8000000000000005,0.8000000000000002,16.00000000000001
cate,2,B,1000,0.04,0.060000000000000026,0.020000000000000025,0.5000000000000007,0.5,20.000000000000025
cate,3,C,1000,0.08,0.10400000000000002,0.02400000000000002,0.30000000000000027,0.2999999999999999,24.00000000000002
cate,4,D,1000,0.16,0.19200000000000003,0.03200000000000003,0.20000000000000018,0.20000000000000004,32.00000000000003
cate,5,E,1000,0.25,0.2875,0.03749999999999998,0.1499999999999999,0.14999999999999994,37.49999999999998
lift,1,E,1000,0.25,0.2875,0.03749999999999998,0.1499999999999999,0.14999999999999994,37.49999999999998
lift,2,D,1000,0.16,0.19200000000000003,0.03200000000000003,0.20000000000000018,0.20000000000000004,32.00000000000003
lift,3,C,1000,0.08,0.10400000000000002,0.02400000000000002,0.30000000000000027,0.2999999999999999,24.00000000000002
lift,4,B,1000,0.04,0.060000000000000026,0.020000000000000025,0.5000000000000007,0.5,20.000000000000025
lift,5,A,1000,0.02,0.03600000000000001,0.01600000000000001,0.8000000000000005,0.8000000000000002,16.00000000000001
