scenario,method,comparator,metric,difference,difference_mcse,pairs,total_reps,excluded_pairs
linear_standard,DML-quadratic,DML-linear,log_ratio_rmse,0.02992447514042607,0.0329244164371733,2,2,0
linear_standard,DML-quadratic,DML-linear,lift_mae,0.002042335928163167,0.006950996559691137,2,2,0
linear_standard,DML-quadratic,DML-linear,lift_bias,-0.10312541866500353,0.12078360010285451,2,2,0
linear_standard,DML-quadratic,DML-linear,rank_spearman,0.0,0.0,2,2,0
linear_standard,Log-mean-linear,DML-linear,log_ratio_rmse,-0.02586298564307301,0.05824356047299619,2,2,0
linear_standard,Log-mean-linear,DML-linear,lift_mae,-0.042746344714501214,0.0597436628348001,2,2,0
linear_standard,Log-mean-linear,DML-linear,lift_bias,-0.011831794841137722,0.01890524154028879,2,2,0
linear_standard,Log-mean-linear,DML-linear,rank_spearman,0.0,0.0,2,2,0
linear_standard,Log-mean-quadratic,DML-linear,log_ratio_rmse,0.05589079339589767,0.020843816510747872,2,2,0
linear_standard,Log-mean-quadratic,DML-linear,lift_mae,0.024399539553801662,0.004749790735315403,2,2,0
linear_standard,Log-mean-quadratic,DML-linear,lift_bias,-0.12197113437814186,0.12209388219097893,2,2,0
linear_standard,Log-mean-quadratic,DML-linear,rank_spearman,0.0,0.0,2,2,0
linear_standard,S-learner,DML-linear,log_ratio_rmse,0.5416657993481774,0.15620104196547846,2,2,0
linear_standard,S-learner,DML-linear,lift_mae,0.3639907524355208,0.014025815233329825,2,2,0
linear_standard,S-learner,DML-linear,lift_bias,-0.13629781597691407,0.35088454624772347,2,2,0
linear_standard,S-learner,DML-linear,rank_spearman,-0.44011972827279594,0.05260157105795454,2,2,0
curved_randomized,DML-quadratic,DML-linear,log_ratio_rmse,-0.24847872179500502,0.04645821225607072,2,2,0
curved_randomized,DML-quadratic,DML-linear,lift_mae,-0.26083870420687794,0.04962262106438336,2,2,0
curved_randomized,DML-quadratic,DML-linear,lift_bias,0.3879339817331185,0.10983395329239848,2,2,0
curved_randomized,DML-quadratic,DML-linear,rank_spearman,0.0,0.0,2,2,0
curved_randomized,Log-mean-linear,DML-linear,log_ratio_rmse,0.017244150240051215,0.006133225316832469,2,2,0
curved_randomized,Log-mean-linear,DML-linear,lift_mae,-0.027262310334043,0.01172452575630653,2,2,0
curved_randomized,Log-mean-linear,DML-linear,lift_bias,0.027262310334043,0.01172452575630653,2,2,0
curved_randomized,Log-mean-linear,DML-linear,rank_spearman,0.0,0.0,2,2,0
curved_randomized,Log-mean-quadratic,DML-linear,log_ratio_rmse,-0.218564895704981,0.054390165344503756,2,2,0
curved_randomized,Log-mean-quadratic,DML-linear,lift_mae,-0.22188596203268254,0.036063373753499745,2,2,0
curved_randomized,Log-mean-quadratic,DML-linear,lift_bias,0.3663810884138866,0.16806869803133614,2,2,0
curved_randomized,Log-mean-quadratic,DML-linear,rank_spearman,0.0,0.0,2,2,0
curved_randomized,S-learner,DML-linear,log_ratio_rmse,0.018908290767618657,0.02497727938701846,2,2,0
curved_randomized,S-learner,DML-linear,lift_mae,0.12572128502896338,0.10737232183888493,2,2,0
curved_randomized,S-learner,DML-linear,lift_bias,0.640036116272976,0.1680662957558467,2,2,0
curved_randomized,S-learner,DML-linear,rank_spearman,-1.0995656773771556,0.61821484753171,2,2,0
curved_standard,DML-quadratic,DML-linear,log_ratio_rmse,-0.17854031064835313,0.049489028574495234,2,2,0
curved_standard,DML-quadratic,DML-linear,lift_mae,-0.11346607321228727,0.012625400409998738,2,2,0
curved_standard,DML-quadratic,DML-linear,lift_bias,0.3794315387724921,0.2522420669891337,2,2,0
curved_standard,DML-quadratic,DML-linear,rank_spearman,0.0,0.0,2,2,0
curved_standard,Log-mean-linear,DML-linear,log_ratio_rmse,0.011657280424316463,0.01743149460128418,2,2,0
curved_standard,Log-mean-linear,DML-linear,lift_mae,-0.007368226369659864,0.0012458828902785766,2,2,0
curved_standard,Log-mean-linear,DML-linear,lift_bias,0.015423632690269196,0.009301289210887907,2,2,0
curved_standard,Log-mean-linear,DML-linear,rank_spearman,-1.0,1.0,2,2,0
curved_standard,Log-mean-quadratic,DML-linear,log_ratio_rmse,-0.23251599586699037,0.04905936483686976,2,2,0
curved_standard,Log-mean-quadratic,DML-linear,lift_mae,-0.1949131474246038,0.01630588549750249,2,2,0
curved_standard,Log-mean-quadratic,DML-linear,lift_bias,0.3102415121755538,0.1314291756894984,2,2,0
curved_standard,Log-mean-quadratic,DML-linear,rank_spearman,0.0,0.0,2,2,0
curved_standard,S-learner,DML-linear,log_ratio_rmse,0.13026600675941552,0.10725736531633223,2,2,0
curved_standard,S-learner,DML-linear,lift_mae,0.15173750429785485,0.006177555066902956,2,2,0
curved_standard,S-learner,DML-linear,lift_bias,0.17639678221320573,0.272773146847273,2,2,0
