scenario,label,method,reps,successes,failures,theta0,theta0_mcse,theta1,theta1_mcse,theta1_n,se1,kappa,kappa_mcse
curved_randomized,"Curvo, dose aleatorizada uniforme",DML-linear,2,2,0,-0.34487721855971065,0.08537673329539376,-0.2338109583435228,0.1160679616247314,2,0.14476150373311544,,
curved_randomized,"Curvo, dose aleatorizada uniforme",DML-quadratic,2,2,0,-0.3086274730301676,0.08612708318476302,-0.2518909607575921,0.1425824754315024,2,0.1479592939274203,0.7388003975873609,0.18258721583536414
curved_randomized,"Curvo, dose aleatorizada uniforme",Log-mean-linear,2,2,0,-0.4442904182329249,0.14801952470950006,-0.30458448268062854,0.11865097565363035,2,,,
curved_randomized,"Curvo, dose aleatorizada uniforme",Log-mean-quadratic,2,2,0,-0.3710098997224649,0.10401370726406235,-0.2635754416004834,0.12181081829680694,2,,0.6698651919819224,0.2648966732525429
curved_standard,"Curvo, alocação padrão",DML-linear,2,2,0,-0.37992920158113297,0.18004994569302135,-0.039381344032719395,0.02121239193690289,2,0.16509213475368656,,
curved_standard,"Curvo, alocação padrão",DML-quadratic,2,2,0,-0.37309731424827197,0.1960815478194755,-0.23292399855660334,0.07848740790342634,2,0.18527313670687195,0.6461113260515193,0.36140341003414617
curved_standard,"Curvo, alocação padrão",Log-mean-linear,2,2,0,-0.4633840053109339,0.19525503191591867,-0.017830407257883055,0.029215245982490482,2,,,
curved_standard,"Curvo, alocação padrão",Log-mean-quadratic,2,2,0,-0.4000400145332603,0.15139826898891082,-0.14198131918943724,0.011447184206573242,2,,0.5876675709215404,0.20891182571544728
curved_weak_overlap,"Curvo, pouco overlap",DML-linear,2,2,0,-0.2750852318163005,0.32502491829018554,0.5073178428474648,0.11243712984063158,2,0.3398701930579845,,
curved_weak_overlap,"Curvo, pouco overlap",DML-quadratic,2,2,0,-0.2748242394040431,0.3593947753305222,0.9445419440878104,0.9719109849860659,2,0.7710345887072872,-0.40111558453120133,0.9944570000382695
curved_weak_overlap,"Curvo, pouco overlap",Log-mean-linear,2,2,0,-0.3180857487038417,0.3867832656399715,0.5303622871932646,0.04140713829502066,2,,,
curved_weak_overlap,"Curvo, pouco overlap",Log-mean-quadratic,2,2,0,-0.2752160634123064,0.3526934277470093,0.3154371748357672,0.2735105669228123,2,,0.2694489973199292,0.38123214185739956
