scenario,method,comparator,metric,difference,difference_mcse,pairs,total_reps,excluded_pairs
linear_standard,DML-quadratic,DML-linear,log_ratio_rmse,0.02992447514042607,0.0329244164371733,2,2,0
linear_standard,DML-quadratic,DML-linear,lift_mae,0.0020423359281631533,0.006950996559691124,2,2,0
linear_standard,DML-quadratic,DML-linear,lift_bias,-0.10312541866500352,0.1207836001028545,2,2,0
linear_standard,DML-quadratic,DML-linear,rank_spearman,0.0,0.0,2,2,0
linear_standard,Log-mean-linear,DML-linear,log_ratio_rmse,-0.025862985643073017,0.05824356047299617,2,2,0
linear_standard,Log-mean-linear,DML-linear,lift_mae,-0.04274634471450123,0.05974366283480012,2,2,0
linear_standard,Log-mean-linear,DML-linear,lift_bias,-0.011831794841137715,0.018905241540288754,2,2,0
linear_standard,Log-mean-linear,DML-linear,rank_spearman,-0.12450428082389042,0.0013678922986967155,2,2,0
linear_standard,Log-mean-quadratic,DML-linear,log_ratio_rmse,0.05589079339589765,0.02084381651074784,2,2,0
linear_standard,Log-mean-quadratic,DML-linear,lift_mae,0.024399539553801614,0.004749790735315367,2,2,0
linear_standard,Log-mean-quadratic,DML-linear,lift_bias,-0.12197113437814182,0.12209388219097889,2,2,0
linear_standard,Log-mean-quadratic,DML-linear,rank_spearman,-0.11666392894381328,0.0004243176534999282,2,2,0
linear_standard,S-learner,DML-linear,log_ratio_rmse,0.5416657993481774,0.15620104196547846,2,2,0
linear_standard,S-learner,DML-linear,lift_mae,0.3639907524355208,0.014025815233329825,2,2,0
linear_standard,S-learner,DML-linear,lift_bias,-0.13629781597691404,0.35088454624772347,2,2,0
linear_standard,S-learner,DML-linear,rank_spearman,-0.41875292588737734,0.05428719442663107,2,2,0
curved_randomized,DML-quadratic,DML-linear,log_ratio_rmse,-0.24847872179500502,0.04645821225607072,2,2,0
curved_randomized,DML-quadratic,DML-linear,lift_mae,-0.26083870420687794,0.04962262106438336,2,2,0
curved_randomized,DML-quadratic,DML-linear,lift_bias,0.3879339817331185,0.10983395329239848,2,2,0
curved_randomized,DML-quadratic,DML-linear,rank_spearman,0.0,0.0,2,2,0
curved_randomized,Log-mean-linear,DML-linear,log_ratio_rmse,0.017244150240051215,0.006133225316832469,2,2,0
curved_randomized,Log-mean-linear,DML-linear,lift_mae,-0.027262310334042972,0.011724525756306557,2,2,0
curved_randomized,Log-mean-linear,DML-linear,lift_bias,0.027262310334042972,0.011724525756306557,2,2,0
curved_randomized,Log-mean-linear,DML-linear,rank_spearman,-0.10602474086100838,0.010850018582838683,2,2,0
curved_randomized,Log-mean-quadratic,DML-linear,log_ratio_rmse,-0.218564895704981,0.054390165344503756,2,2,0
curved_randomized,Log-mean-quadratic,DML-linear,lift_mae,-0.22188596203268252,0.036063373753499786,2,2,0
curved_randomized,Log-mean-quadratic,DML-linear,lift_bias,0.36638108841388656,0.1680686980313362,2,2,0
curved_randomized,Log-mean-quadratic,DML-linear,rank_spearman,-0.12176361501851457,0.0031238924061957603,2,2,0
curved_randomized,S-learner,DML-linear,log_ratio_rmse,0.018908290767618657,0.02497727938701846,2,2,0
