scenario,method,comparator,metric,difference,difference_mcse,pairs,total_reps,excluded_pairs
linear_standard,DML-quadratic,DML-linear,log_ratio_rmse,0.0258800429576941,0.005410253603734284,30,30,0
linear_standard,DML-quadratic,DML-linear,lift_mae,0.022198328923659482,0.004877318457743753,30,30,0
linear_standard,DML-quadratic,DML-linear,lift_bias,0.014214353612554291,0.011600373148610893,30,30,0
linear_standard,DML-quadratic,DML-linear,rank_spearman,0.0,0.0,30,30,0
linear_standard,Log-mean-linear,DML-linear,log_ratio_rmse,0.0020548327866838677,0.002451113210939694,30,30,0
linear_standard,Log-mean-linear,DML-linear,lift_mae,0.0024564831176083326,0.0021834072316319264,30,30,0
linear_standard,Log-mean-linear,DML-linear,lift_bias,0.0006207662705467087,0.0007360413418955349,30,30,0
linear_standard,Log-mean-linear,DML-linear,rank_spearman,0.0,0.0,30,30,0
linear_standard,Log-mean-quadratic,DML-linear,log_ratio_rmse,0.023335540513488916,0.0047120201485858024,30,30,0
linear_standard,Log-mean-quadratic,DML-linear,lift_mae,0.019195504235157188,0.004542304984038794,30,30,0
linear_standard,Log-mean-quadratic,DML-linear,lift_bias,0.008643884043142246,0.010548047255987982,30,30,0
linear_standard,Log-mean-quadratic,DML-linear,rank_spearman,-0.06666666666666667,0.06666666666666662,30,30,0
linear_standard,S-learner,DML-linear,log_ratio_rmse,0.254945584302862,0.016687852564419518,30,30,0
linear_standard,S-learner,DML-linear,lift_mae,0.22569740162362695,0.025493608277158995,30,30,0
linear_standard,S-learner,DML-linear,lift_bias,0.10590943180313009,0.03663034682480145,30,30,0
linear_standard,S-learner,DML-linear,rank_spearman,-0.5516881648050187,0.06463519893872155,30,30,0
curved_randomized,DML-quadratic,DML-linear,log_ratio_rmse,-0.2988031196117041,0.003735720378502362,30,30,0
curved_randomized,DML-quadratic,DML-linear,lift_mae,-0.32208051914039615,0.005990146522413553,30,30,0
curved_randomized,DML-quadratic,DML-linear,lift_bias,0.44639883535919694,0.013195566291018266,30,30,0
curved_randomized,DML-quadratic,DML-linear,rank_spearman,0.0,0.0,30,30,0
curved_randomized,Log-mean-linear,DML-linear,log_ratio_rmse,0.007914286561698018,0.000988241868674159,30,30,0
curved_randomized,Log-mean-linear,DML-linear,lift_mae,-0.018970820434400428,0.0007339724979681209,30,30,0
curved_randomized,Log-mean-linear,DML-linear,lift_bias,0.01905868473498585,0.0007628443771212056,30,30,0
curved_randomized,Log-mean-linear,DML-linear,rank_spearman,0.0,0.0,30,30,0
curved_randomized,Log-mean-quadratic,DML-linear,log_ratio_rmse,-0.30462394128514464,0.004113395317995637,30,30,0
curved_randomized,Log-mean-quadratic,DML-linear,lift_mae,-0.33004763868594966,0.006099977365569426,30,30,0
curved_randomized,Log-mean-quadratic,DML-linear,lift_bias,0.43975425019193787,0.011250680370501155,30,30,0
curved_randomized,Log-mean-quadratic,DML-linear,rank_spearman,0.0,0.0,30,30,0
curved_randomized,S-learner,DML-linear,log_ratio_rmse,-0.06170130051465276,0.014131787874912045,30,30,0
curved_randomized,S-learner,DML-linear,lift_mae,-0.028276029484396545,0.02418822393048209,30,30,0
curved_randomized,S-learner,DML-linear,lift_bias,0.5053467839318363,0.04987509462188898,30,30,0
curved_randomized,S-learner,DML-linear,rank_spearman,-0.601711643232349,0.07642750874575911,30,30,0
curved_standard,DML-quadratic,DML-linear,log_ratio_rmse,-0.3164142049227478,0.005397205779702067,30,30,0
curved_standard,DML-quadratic,DML-linear,lift_mae,-0.3323442099354272,0.0082229040104253,30,30,0
curved_standard,DML-quadratic,DML-linear,lift_bias,0.45816459690114425,0.012058459072773394,30,30,0
curved_standard,DML-quadratic,DML-linear,rank_spearman,0.5333333333333333,0.16423513654705052,30,30,0
curved_standard,Log-mean-linear,DML-linear,log_ratio_rmse,0.0035347813887907625,0.0018660338154369782,30,30,0
curved_standard,Log-mean-linear,DML-linear,lift_mae,-0.011267371295972441,0.000666022738281425,30,30,0
curved_standard,Log-mean-linear,DML-linear,lift_bias,0.01419273640925427,0.0010040733531797943,30,30,0
curved_standard,Log-mean-linear,DML-linear,rank_spearman,0.0,0.0,30,30,0
curved_standard,Log-mean-quadratic,DML-linear,log_ratio_rmse,-0.3213201913726768,0.005037972943466854,30,30,0
curved_standard,Log-mean-quadratic,DML-linear,lift_mae,-0.34137780178203364,0.006946127027191474,30,30,0
curved_standard,Log-mean-quadratic,DML-linear,lift_bias,0.4518345818775304,0.009757756904229442,30,30,0
curved_standard,Log-mean-quadratic,DML-linear,rank_spearman,0.5333333333333333,0.16423513654705052,30,30,0
curved_standard,S-learner,DML-linear,log_ratio_rmse,-0.0674874287787527,0.018371142215701894,30,30,0
curved_standard,S-learner,DML-linear,lift_mae,-0.01520843366939893,0.038717079655327155,30,30,0
curved_standard,S-learner,DML-linear,lift_bias,0.544181858839875,0.060580511854933794,30,30,0
curved_standard,S-learner,DML-linear,rank_spearman,-0.06057027782359626,0.16410554149671086,30,30,0
curved_weak_overlap,DML-quadratic,DML-linear,log_ratio_rmse,-0.3559015832521883,0.016946921808702317,30,30,0
curved_weak_overlap,DML-quadratic,DML-linear,lift_mae,-0.28237447848814856,0.01961856511263769,30,30,0
curved_weak_overlap,DML-quadratic,DML-linear,lift_bias,0.4316632880953347,0.02451596496832281,30,30,0
curved_weak_overlap,DML-quadratic,DML-linear,rank_spearman,1.6,0.1485562705416415,30,30,0
curved_weak_overlap,Log-mean-linear,DML-linear,log_ratio_rmse,0.0326103261333891,0.007997317333900187,30,30,0
curved_weak_overlap,Log-mean-linear,DML-linear,lift_mae,0.021379341473678447,0.010086769824684077,30,30,0
curved_weak_overlap,Log-mean-linear,DML-linear,lift_bias,0.026586522182145914,0.006178493393779398,30,30,0
curved_weak_overlap,Log-mean-linear,DML-linear,rank_spearman,0.0,0.0,30,30,0
