scenario,label,method,reps,successes,failures,warning_runs,convergence_failures,log_ratio_rmse,log_ratio_rmse_mcse,log_ratio_rmse_n,lift_mae,lift_mae_mcse,lift_mae_n,lift_bias,lift_bias_mcse,lift_bias_n,rank_spearman,rank_spearman_mcse,rank_spearman_n,invalid_train_fraction,invalid_train_fraction_mcse,invalid_train_fraction_n,invalid_grid_fraction,invalid_grid_fraction_mcse,invalid_grid_fraction_n,s_clipped_grid_fraction,s_clipped_grid_fraction_mcse,s_clipped_grid_fraction_n,converters,converters_mcse,converters_n,conversion,conversion_mcse,conversion_n,moment_norm,moment_norm_mcse,moment_norm_n,jac_condition,jac_condition_mcse,jac_condition_n,jac_min_singular,jac_min_singular_mcse,jac_min_singular_n,poisson_iterations,poisson_iterations_mcse,poisson_iterations_n,poisson_gradient_max,poisson_gradient_max_mcse,poisson_gradient_max_n,fit_seconds,fit_seconds_mcse,fit_seconds_n,theta0,theta0_mcse,theta0_n,theta1,theta1_mcse,theta1_n,kappa,kappa_mcse,kappa_n,se0,se0_mcse,se0_n,se1,se1_mcse,se1_n,se_kappa,se_kappa_mcse,se_kappa_n
linear_standard,"Log-linear, alocação padrão",DML-linear,30,30,0,0,0,0.08080541546687202,0.008881432704323658,30,0.06871278894883927,0.007036251743444189,30,0.005457360289069806,0.002294156825017232,30,1.0,6.5194540823066245e-18,30,,,0,,,0,,,0,554.2,3.4741740108220354,30,0.04618333333333335,0.0002895145009018362,30,7.525613508666524e-18,5.89941517908614e-18,30,3.631804944856508,0.08836653665912769,30,0.006131840479439461,0.00012922489142931358,30,,,0,,,0,0.501339733333334,0.0021052827036872287,30,-0.34925332516023017,0.020518912642901926,30,-0.213365843876311,0.018039576739314594,30,,,0,0.09422481309248543,0.0010392611287283803,30,0.09422481309248543,0.0010392611287283805,30,,,0
linear_standard,"Log-linear, alocação padrão",DML-quadratic,30,30,0,0,0,0.10668545842456613,0.00900161965116579,30,0.09091111787249877,0.0076128647539485984,30,0.019671713901624095,0.011618868624843043,30,1.0,6.5194540823066245e-18,30,,,0,,,0,,,0,554.2,3.4741740108220354,30,0.04618333333333335,0.0002895145009018362,30,3.739486123459016e-16,2.7949936404688866e-16,30,6.475716531325162,0.07081891135280582,30,0.0034852983948050653,5.0250603176080895e-05,30,,,0,,,0,0.7100525400000005,0.0019618556564981082,30,-0.35050707858686025,0.02075133798016666,30,-0.21896744802948784,0.018748981251265995,30,0.025552595881013596,0.02602000031376029,30,0.09412886575706224,0.0010403651560108777,30,0.09770185549646579,0.0012486670995863018,30,0.14829599022193474,0.0009758542294238474,30
linear_standard,"Log-linear, alocação padrão",Log-mean-linear,30,30,0,0,0,0.0828602482535559,0.009224377345127327,30,0.07116927206644762,0.007377633096182936,30,0.006078126559616514,0.002449814870249138,30,1.0,6.5194540823066245e-18,30,0.0,0.0,30,0.0,0.0,30,,,0,554.2,3.4741740108220354,30,0.04618333333333335,0.0002895145009018362,30,,,0,,,0,,,0,12.5,0.18414137497317515,30,1.3741342732200097e-09,3.809646279594013e-10,30,0.003037246666666545,4.989506246355011e-05,30,-0.35060625762501574,0.02082858164272664,30,-0.2149996831443706,0.018851629313977318,30,,,0,,,0,,,0,,,0
linear_standard,"Log-linear, alocação padrão",Log-mean-quadratic,30,30,0,0,0,0.10414095598036095,0.00895790408018453,30,0.08790829318399646,0.007798354701605757,30,0.014101244332212048,0.010647527885591248,30,0.9333333333333333,0.06666666666666662,30,0.0,0.0,30,0.0,0.0,30,,,0,554.2,3.4741740108220354,30,0.04618333333333335,0.0002895145009018362,30,,,0,,,0,,,0,16.466666666666665,0.30600628546370584,30,1.5291184638955487e-09,3.8188801884218633e-10,30,0.00392102666666679,8.410881839489718e-05,30,-0.349377866579012,0.020868157241294993,30,-0.21658291062336854,0.019435610495383955,30,0.01394148791540328,0.023503078407036103,30,,,0,,,0,,,0
linear_standard,"Log-linear, alocação padrão",S-learner,30,30,0,0,0,0.33575099976973405,0.015269609508726134,30,0.2944101905724662,0.023852511520970815,30,0.11136679209219988,0.0363365772597243,30,0.44831183519498136,0.06463519893872155,30,,,0,0.0,0.0,30,0.0,0.0,30,554.2,3.4741740108220354,30,0.04618333333333335,0.0002895145009018362,30,,,0,,,0,,,0,,,0,,,0,0.0879312366666666,0.0004336362100895322,30,,,0,,,0,,,0,,,0,,,0,,,0
curved_randomized,"Curvo, dose aleatorizada uniforme",DML-linear,30,30,0,0,0,0.3782428955847242,0.0007223106376042133,30,0.4185325041501136,0.0012283629230984245,30,-0.4185325041501136,0.0012283629230984245,30,1.0,6.5194540823066245e-18,30,,,0,,,0,,,0,858.6666666666666,3.637396230959197,30,0.07155555555555557,0.0003031163525799331,30,1.8456455821929618e-17,1.1075246598371794e-17,30,3.715952777927831,0.07211760628798766,30,0.011949676907139023,0.00019479851181177532,30,,,0,,,0,0.49830116333333335,0.0014368232224228309,30,-0.35253026992587094,0.012052858467643184,30,-0.20287333877245986,0.013497911958970448,30,,,0,0.06655178857497335,0.0004726061978340898,30,0.06655178857497333,0.00047260619783408953,30,,,0
curved_randomized,"Curvo, dose aleatorizada uniforme",DML-quadratic,30,30,0,0,0,0.07943977597302013,0.004143961327949066,30,0.0964519850097175,0.005861891459391263,30,0.027866331209083217,0.012863709796400856,30,1.0,6.5194540823066245e-18,30,,,0,,,0,,,0,858.6666666666666,3.637396230959197,30,0.07155555555555557,0.0003031163525799331,30,4.933759021686695e-16,4.698847037964107e-16,30,5.911878754060379,0.04541823837221473,30,0.004427329877160807,5.362894884111797e-05,30,,,0,,,0,0.7086205566666663,0.004300796748710384,30,-0.35423131848253775,0.012731518419876435,30,-0.2007132975885607,0.013706105140909818,30,0.8326669291686601,0.019905237257720757,30,0.06796666996140074,0.0004853912540900739,30,0.06801305830638159,0.0004954339157509115,30,0.11176557869601646,0.00039877812505001805,30
curved_randomized,"Curvo, dose aleatorizada uniforme",Log-mean-linear,30,30,0,0,0,0.38615718214642225,0.0014816100332862064,30,0.39956168371571327,0.0017934586868779657,30,-0.3994738194151278,0.0018126860077979615,30,1.0,6.5194540823066245e-18,30,0.0,0.0,30,0.0,0.0,30,,,0,858.6666666666666,3.637396230959197,30,0.07155555555555557,0.0003031163525799331,30,,,0,,,0,,,0,13.6,0.10283342182227605,30,1.556568965953129e-09,2.751025589484528e-10,30,0.003309869999998701,0.00011275433413194272,30,-0.43483755416013975,0.015203465404887588,30,-0.25226366469660655,0.016818157113944764,30,,,0,,,0,,,0,,,0
curved_randomized,"Curvo, dose aleatorizada uniforme",Log-mean-quadratic,30,30,0,0,0,0.07361895429957975,0.0046043496264289606,30,0.08848486546416391,0.0058175950058247505,30,0.021221746041824203,0.010926112383121536,30,1.0,6.5194540823066245e-18,30,0.0,0.0,30,0.0,0.0,30,,,0,858.6666666666666,3.637396230959197,30,0.07155555555555557,0.0003031163525799331,30,,,0,,,0,,,0,16.266666666666666,0.22960902968613833,30,1.5882581631198888e-09,3.7381822363838524e-10,30,0.003731313333333001,5.70186266666651e-05,30,-0.35137185416666966,0.01251016585388134,30,-0.20269331153228048,0.013773640359207764,30,0.8241756409283337,0.0172186588151512,30,,,0,,,0,,,0
curved_randomized,"Curvo, dose aleatorizada uniforme",S-learner,30,30,0,0,0,0.31654159507007157,0.014200820853713183,30,0.39025647466571717,0.02394436741848756,30,0.0868142797817227,0.04984345902629405,30,0.3982883567676509,0.07642750874575913,30,,,0,0.0,0.0,30,0.0,0.0,30,858.6666666666666,3.637396230959197,30,0.07155555555555557,0.0003031163525799331,30,,,0,,,0,,,0,,,0,,,0,0.08805356000000066,0.0002481002272257217,30,,,0,,,0,,,0,,,0,,,0,,,0
