scenario,method,comparator,metric,difference,difference_mcse,pairs,total_reps,excluded_pairs
linear_standard,DML-quadratic,DML-linear,log_ratio_rmse,0.025880042957694104,0.005410253603734284,30,30,0
linear_standard,DML-quadratic,DML-linear,lift_mae,0.022198328923659482,0.004877318457743753,30,30,0
linear_standard,DML-quadratic,DML-linear,lift_bias,0.014214353612554291,0.011600373148610893,30,30,0
linear_standard,DML-quadratic,DML-linear,rank_spearman,0.0,0.0,30,30,0
linear_standard,Log-mean-linear,DML-linear,log_ratio_rmse,0.0020548327866838794,0.0024511132109396945,30,30,0
linear_standard,Log-mean-linear,DML-linear,lift_mae,0.0024564831176083434,0.0021834072316319264,30,30,0
linear_standard,Log-mean-linear,DML-linear,lift_bias,0.000620766270546708,0.0007360413418955352,30,30,0
linear_standard,Log-mean-linear,DML-linear,rank_spearman,-0.1149681765970314,0.0011203260056999991,30,30,0
linear_standard,Log-mean-quadratic,DML-linear,log_ratio_rmse,0.02333554051348891,0.004712020148585804,30,30,0
linear_standard,Log-mean-quadratic,DML-linear,lift_mae,0.019195504235157184,0.004542304984038793,30,30,0
linear_standard,Log-mean-quadratic,DML-linear,lift_bias,0.008643884043142242,0.010548047255987984,30,30,0
linear_standard,Log-mean-quadratic,DML-linear,rank_spearman,-0.1668781071745051,0.05588534530567757,30,30,0
linear_standard,S-learner,DML-linear,log_ratio_rmse,0.254945584302862,0.016687852564419518,30,30,0
linear_standard,S-learner,DML-linear,lift_mae,0.22569740162362695,0.025493608277158995,30,30,0
linear_standard,S-learner,DML-linear,lift_bias,0.10590943180313009,0.03663034682480145,30,30,0
linear_standard,S-learner,DML-linear,rank_spearman,-0.5258856880786652,0.061679797370224554,30,30,0
curved_randomized,DML-quadratic,DML-linear,log_ratio_rmse,-0.2988031196117041,0.003735720378502363,30,30,0
curved_randomized,DML-quadratic,DML-linear,lift_mae,-0.32208051914039615,0.005990146522413553,30,30,0
curved_randomized,DML-quadratic,DML-linear,lift_bias,0.44639883535919694,0.013195566291018262,30,30,0
curved_randomized,DML-quadratic,DML-linear,rank_spearman,0.0,0.0,30,30,0
curved_randomized,Log-mean-linear,DML-linear,log_ratio_rmse,0.007914286561698012,0.0009882418686741569,30,30,0
curved_randomized,Log-mean-linear,DML-linear,lift_mae,-0.01897082043440041,0.0007339724979681221,30,30,0
curved_randomized,Log-mean-linear,DML-linear,lift_bias,0.01905868473498584,0.000762844377121207,30,30,0
curved_randomized,Log-mean-linear,DML-linear,rank_spearman,-0.11291613687909682,0.001299644338685136,30,30,0
curved_randomized,Log-mean-quadratic,DML-linear,log_ratio_rmse,-0.3046239412851446,0.004113395317995639,30,30,0
curved_randomized,Log-mean-quadratic,DML-linear,lift_mae,-0.33004763868594966,0.006099977365569426,30,30,0
curved_randomized,Log-mean-quadratic,DML-linear,lift_bias,0.43975425019193787,0.011250680370501153,30,30,0
curved_randomized,Log-mean-quadratic,DML-linear,rank_spearman,-0.11747323074629105,0.0011365500207624777,30,30,0
curved_randomized,S-learner,DML-linear,log_ratio_rmse,-0.06170130051465276,0.014131787874912045,30,30,0
curved_randomized,S-learner,DML-linear,lift_mae,-0.028276029484396545,0.02418822393048209,30,30,0
