scenario,label,method,reps,successes,failures,warning_runs,convergence_failures,log_ratio_rmse,log_ratio_rmse_mcse,log_ratio_rmse_n,lift_mae,lift_mae_mcse,lift_mae_n,lift_bias,lift_bias_mcse,lift_bias_n,rank_spearman,rank_spearman_mcse,rank_spearman_n,invalid_train_fraction,invalid_train_fraction_mcse,invalid_train_fraction_n,invalid_grid_fraction,invalid_grid_fraction_mcse,invalid_grid_fraction_n,s_clipped_grid_fraction,s_clipped_grid_fraction_mcse,s_clipped_grid_fraction_n,converters,converters_mcse,converters_n,conversion,conversion_mcse,conversion_n,moment_norm,moment_norm_mcse,moment_norm_n,jac_condition,jac_condition_mcse,jac_condition_n,jac_min_singular,jac_min_singular_mcse,jac_min_singular_n,poisson_iterations,poisson_iterations_mcse,poisson_iterations_n,poisson_gradient_max,poisson_gradient_max_mcse,poisson_gradient_max_n,fit_seconds,fit_seconds_mcse,fit_seconds_n,theta0,theta0_mcse,theta0_n,theta1,theta1_mcse,theta1_n,kappa,kappa_mcse,kappa_n,se0,se0_mcse,se0_n,se1,se1_mcse,se1_n,se_kappa,se_kappa_mcse,se_kappa_n
linear_standard,"Log-linear, alocação padrão",DML-linear,30,30,0,0,0,0.08080541546687202,0.008881432704323658,30,0.06871278894883927,0.007036251743444189,30,0.005457360289069806,0.002294156825017232,30,0.953590602679043,0.0005072089830160069,30,,,0,,,0,,,0,554.2,3.4741740108220354,30,0.04618333333333335,0.0002895145009018362,30,7.525613508666524e-18,5.89941517908614e-18,30,3.631804944856508,0.08836653665912769,30,0.006131840479439461,0.00012922489142931358,30,,,0,,,0,0.4952313799999999,0.0026189492515498645,30,-0.34925332516023017,0.020518912642901926,30,-0.213365843876311,0.018039576739314594,30,,,0,0.09422481309248543,0.0010392611287283803,30,0.09422481309248543,0.0010392611287283805,30,,,0
linear_standard,"Log-linear, alocação padrão",DML-quadratic,30,30,0,0,0,0.10668545842456613,0.00900161965116579,30,0.09091111787249877,0.0076128647539485984,30,0.019671713901624092,0.011618868624843043,30,0.953590602679043,0.0005072089830160069,30,,,0,,,0,,,0,554.2,3.4741740108220354,30,0.04618333333333335,0.0002895145009018362,30,3.739486123459016e-16,2.7949936404688866e-16,30,6.475716531325162,0.07081891135280582,30,0.0034852983948050653,5.0250603176080895e-05,30,,,0,,,0,0.7146917300000003,0.0075625135969238765,30,-0.35050707858686025,0.02075133798016666,30,-0.21896744802948784,0.018748981251265995,30,0.025552595881013596,0.02602000031376029,30,0.09412886575706224,0.0010403651560108777,30,0.09770185549646579,0.0012486670995863018,30,0.14829599022193474,0.0009758542294238474,30
linear_standard,"Log-linear, alocação padrão",Log-mean-linear,30,30,0,0,0,0.08286024825355591,0.009224377345127327,30,0.07116927206644762,0.007377633096182935,30,0.006078126559616515,0.002449814870249139,30,0.8386224260820117,0.0012055147310907368,30,0.0,0.0,30,0.0,0.0,30,,,0,554.2,3.4741740108220354,30,0.04618333333333335,0.0002895145009018362,30,,,0,,,0,,,0,12.5,0.18414137497317515,30,1.3741342732200097e-09,3.809646279594013e-10,30,0.003002529999999585,7.016637832415459e-05,30,-0.35060625762501574,0.02082858164272664,30,-0.2149996831443706,0.018851629313977318,30,,,0,,,0,,,0,,,0
linear_standard,"Log-linear, alocação padrão",Log-mean-quadratic,30,30,0,0,0,0.10414095598036095,0.00895790408018453,30,0.08790829318399644,0.007798354701605758,30,0.01410124433221205,0.01064752788559125,30,0.786712495504538,0.055979125340974954,30,0.0,0.0,30,0.0,0.0,30,,,0,554.2,3.4741740108220354,30,0.04618333333333335,0.0002895145009018362,30,,,0,,,0,,,0,16.466666666666665,0.30600628546370584,30,1.5291184638955487e-09,3.8188801884218633e-10,30,0.0039081533333335935,0.00011446444689535452,30,-0.349377866579012,0.020868157241294993,30,-0.21658291062336854,0.019435610495383955,30,0.01394148791540328,0.023503078407036103,30,,,0,,,0,,,0
linear_standard,"Log-linear, alocação padrão",S-learner,30,30,0,0,0,0.33575099976973405,0.015269609508726134,30,0.2944101905724662,0.023852511520970815,30,0.11136679209219988,0.036336577259724306,30,0.42770491460037785,0.061627084347508194,30,,,0,0.0,0.0,30,0.0,0.0,30,554.2,3.4741740108220354,30,0.04618333333333335,0.0002895145009018362,30,,,0,,,0,,,0,,,0,,,0,0.08797684999999963,0.0014318229051521237,30,,,0,,,0,,,0,,,0,,,0,,,0
curved_randomized,"Curvo, dose aleatorizada uniforme",DML-linear,30,30,0,0,0,0.3782428955847242,0.0007223106376042127,30,0.4185325041501136,0.0012283629230984245,30,-0.4185325041501136,0.0012283629230984245,30,0.9794336763792614,0.0003020378524618183,30,,,0,,,0,,,0,858.6666666666666,3.637396230959197,30,0.07155555555555557,0.0003031163525799331,30,1.8456455821929618e-17,1.1075246598371794e-17,30,3.715952777927831,0.07211760628798766,30,0.011949676907139023,0.00019479851181177532,30,,,0,,,0,0.5050588899999987,0.0055890724491006825,30,-0.35253026992587094,0.012052858467643184,30,-0.20287333877245986,0.013497911958970448,30,,,0,0.06655178857497335,0.0004726061978340898,30,0.06655178857497333,0.00047260619783408953,30,,,0
curved_randomized,"Curvo, dose aleatorizada uniforme",DML-quadratic,30,30,0,0,0,0.07943977597302013,0.004143961327949066,30,0.0964519850097175,0.005861891459391263,30,0.027866331209083217,0.012863709796400856,30,0.9794336763792614,0.0003020378524618183,30,,,0,,,0,,,0,858.6666666666666,3.637396230959197,30,0.07155555555555557,0.0003031163525799331,30,4.933759021686695e-16,4.698847037964107e-16,30,5.911878754060379,0.04541823837221473,30,0.004427329877160807,5.362894884111797e-05,30,,,0,,,0,0.7126958833333309,0.006050088597941716,30,-0.35423131848253775,0.012731518419876435,30,-0.2007132975885607,0.013706105140909818,30,0.8326669291686601,0.019905237257720757,30,0.06796666996140074,0.0004853912540900739,30,0.06801305830638159,0.0004954339157509115,30,0.11176557869601646,0.00039877812505001805,30
curved_randomized,"Curvo, dose aleatorizada uniforme",Log-mean-linear,30,30,0,0,0,0.38615718214642225,0.0014816100332862036,30,0.39956168371571327,0.0017934586868779683,30,-0.39947381941512783,0.0018126860077979643,30,0.8665175395001641,0.0013598172893296602,30,0.0,0.0,30,0.0,0.0,30,,,0,858.6666666666666,3.637396230959197,30,0.07155555555555557,0.0003031163525799331,30,,,0,,,0,,,0,13.6,0.10283342182227605,30,1.556568965953129e-09,2.751025589484528e-10,30,0.0032065633333338895,9.7203908261268e-05,30,-0.43483755416013975,0.015203465404887588,30,-0.25226366469660655,0.016818157113944764,30,,,0,,,0,,,0,,,0
curved_randomized,"Curvo, dose aleatorizada uniforme",Log-mean-quadratic,30,30,0,0,0,0.07361895429957972,0.0046043496264289606,30,0.08848486546416391,0.005817595005824751,30,0.021221746041824197,0.010926112383121534,30,0.86196044563297,0.0012252029992405515,30,0.0,0.0,30,0.0,0.0,30,,,0,858.6666666666666,3.637396230959197,30,0.07155555555555557,0.0003031163525799331,30,,,0,,,0,,,0,16.266666666666666,0.22960902968613833,30,1.5882581631198888e-09,3.7381822363838524e-10,30,0.003932996666665408,0.00012100658312878105,30,-0.35137185416666966,0.01251016585388134,30,-0.20269331153228048,0.013773640359207764,30,0.8241756409283337,0.0172186588151512,30,,,0,,,0,,,0
curved_randomized,"Curvo, dose aleatorizada uniforme",S-learner,30,30,0,0,0,0.31654159507007157,0.014200820853713183,30,0.39025647466571717,0.023944367418487555,30,0.0868142797817227,0.04984345902629405,30,0.3905804221306941,0.07478351809291933,30,,,0,0.0,0.0,30,0.0,0.0,30,858.6666666666666,3.637396230959197,30,0.07155555555555557,0.0003031163525799331,30,,,0,,,0,,,0,,,0,,,0,0.08822479666666656,0.0005637699117874055,30,,,0,,,0,,,0,,,0,,,0,,,0
